,tr_main_law,tr_draft,tr_category
243,On amendments to some resolutions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
244,"On ratification of the Protocol on Amendments to the Convention of the Commonwealth of Independent States on Human Rights and Fundamental Freedoms of May 26, 1995, signed on October 14, 2022 in Astana",About the draft Law,Empty
245,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014 regarding the definition of the procedure for collecting indirect taxes in the provision of services in electronic form, signed on December 9, 2022 in Bishkek",About the draft Law,Empty
246,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014 regarding the definition of the procedure for collecting indirect taxes in the provision of services in electronic form, signed on December 9, 2022 in Bishkek",About the draft Law,Empty
247,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014 regarding the definition of the procedure for collecting indirect taxes in the provision of services in electronic form, signed on December 9, 2022 in Bishkek",About the draft Law,Empty
248,"On State guarantees of equal rights and equal opportunities for men and women ,",On amendments to the Law of the Kyrgyz Republic,About the draft Law
249,"About burial and funeral business ,",About the draft Law,Empty
250,About hunting and hunting economy,On amendments to the Law of the Kyrgyz Republic,About the draft Law
251,"Sheikh Zayed bin Sultan Al Nahyan to the unnamed glacier No. 354, located on the northwestern slope of the Ak-Shyrak ridge, in the Bordu River basin, Jeti-Oguz district of Issyk-Kul region of the Kyrgyz Republic",On the assignment of a geographical name,About the draft Law
252,"King Abdulaziz to the unnamed glacier No. 331, located in the Ak-Shyrak massif, in the Sary-Chat Jeti River basin of the Oguz district of the Issyk-Kul region of the Kyrgyz Republic",On the assignment of a geographical name,About the draft Law
253,On the right to access information,About the draft Law,Empty
254,On giving consent to the appointment to the post of Minister of Education and Science of the Kyrgyz Republic,Empty,Empty
255,On the protection of bank deposits,On amendments to the Law of the Kyrgyz Republic,About the draft Law
256,On the restoration and protection of savings of citizens of the Kyrgyz Republic,On the invalidation of the Law of the Kyrgyz Republic,About the draft Law
257,On amnesty in connection with the 30th anniversary of the adoption of the Constitution of the Kyrgyz Republic and the 75th anniversary of the Universal Declaration of Human Rights,About the draft Law,Empty
258,About explosive materials for industrial use,On amendments to the Law of the Kyrgyz Republic,About the draft Law
259,On the establishment of bans on smoking of certain types of electronic cigarettes in the territory of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
260,"On Amendments to the Law of the Kyrgyz Republic On State Benefits in the Kyrgyz Republic"", returned with the objection of the President of the Kyrgyz Republic""",On the draft resolution of the Jogorku Kenesh,On the formation of a conciliation group to develop an agreed version of the Law of the Kyrgyz Republic
261,On the establishment of a temporary deputy commission to study the effectiveness of the departments of the Registry Office and passport departments of the Department of Population Registration and Acts of Civil Status under the Ministry of Digital Development of the Kyrgyz Republic and the enforcement of legislation in this area,Empty,Empty
262,On the results of the work of the temporary deputy commission to study the issues of chaotic construction in Bishkek and control the implementation of urban planning legislation of the Kyrgyz Republic,Empty,Empty
263,"On approval of the composition of the committees of the Jogorku Kenesh of the Kyrgyz Republic dated January 13, 2022 No. 18-VII",On amending the resolution of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
264,On the ongoing work of the Cabinet of Ministers of the Kyrgyz Republic on the preparation of sectors of the economy and the population of the Kyrgyz Republic for the autumn-winter period 2023-2024,On the draft resolution of the Jogorku Kenesh,Empty
265,"On the Privatization of State Property in the Kyrgyz Republic"", On Joint-Stock Companies"" and on the State Development Bank of the Kyrgyz Republic"")""",About the draft Law,"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the laws"
266,"On the Privatization of State Property in the Kyrgyz Republic"", On Joint-Stock Companies"" and on the State Development Bank of the Kyrgyz Republic"")""",About the draft Law,"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the laws"
267,"On the Privatization of State Property in the Kyrgyz Republic"", On Joint-Stock Companies"" and on the State Development Bank of the Kyrgyz Republic"")""",About the draft Law,"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the laws"
268,About the licensing and licensing system in the Kyrgyz Republic),On amendments to the Law of the Kyrgyz Republic,About the draft Law
269,About the Constitutional Court of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Constitutional Law
270,About the Constitutional Court of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Constitutional Law
271,About cooperatives,On amendments to the Law of the Kyrgyz Republic,About the draft Law
272,On strategic planning in the Kyrgyz Republic,About the draft Law,Empty
273,About the local state administration and local self-government bodies,On amendments to the Law of the Kyrgyz Republic,About the draft Law
274,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
275,About the status of the Batken region,On amendments to the Law of the Kyrgyz Republic,About the draft Law
276,About public councils of state bodies,On the invalidation of the Law of the Kyrgyz Republic,About the draft Law
277,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
278,"On the renaming of individual aiyl aimags and villages of Batken, Jalal-Abad and Issyk-Kul regions of the Kyrgyz Republic",About the draft Law,Empty
279,About offenses,On amendments to the Code of the Kyrgyz Republic,About the draft Law
280,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
281,On the formation of a temporary deputy commission to study the illegal actions of officials of the relevant state bodies in relation to convicts who were paroled from serving their sentences,"On Amendments to Resolution No. 1252-VII of the Jogorku Kenesh of the Kyrgyz Republic dated June 14, 2023",On the draft resolution of the Jogorku Kenesh
282,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
283,About tourism,On amendments to the Law of the Kyrgyz Republic,About the draft Law
284,About accumulative pension funds in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
285,On the regulation of milk purchase prices,On the formation of a conciliation group to develop an agreed version of the Law of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
286,"On approval of the composition of the committees of the Jogorku Kenesh of the Kyrgyz Republic dated January 13, 2022 No. 18-VII",On amendments to the resolution of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
287,"Construction and equipping of the neurosurgical center of the National Hospital, signed on March 11, 2016 in Bishkek",On the denunciation of the Loan Agreement between the Kyrgyz Republic and the Kuwait Fund for Arab Economic Development on the project,About the draft Law
288,About the Council for Justice of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Constitutional Law
289,About the Supreme Court of the Kyrgyz Republic and local courts,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Constitutional Law
290,About judicial self-government bodies,On amendments to the Law of the Kyrgyz Republic,About the draft Law
291,"On the classification of some settlements of Batken, Osh, Chui and Issyk-Kul regions and the city of Osh of the Kyrgyz Republic as ayila (villages)",About the draft Law,Empty
292,On the accession of the Kyrgyz Republic to the Framework Agreement on Simplification of Procedures for Cross-Border Paperless Trade in the Asia-Pacific Region (ESCAP),About the draft Law,Empty
293,On amendments to some resolutions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
294,About the circulation of medical devices,About the draft Law,Empty
295,About the circulation of medicines,About the draft Law,Empty
296,On giving consent to the appointment of Beishenaliev Alymkadyr Savirdinovich to the post of Minister of Health of the Kyrgyz Republic,Empty,Empty
297,On giving consent to the appointment of Gulnara Marishovna Baatyrova to the post of Minister of the Kyrgyz Republic,Empty,Empty
298,On giving consent to the appointment of Kutnaeva Nuria Asylbekovna to the post of Minister of Digital Development of the Kyrgyz Republic,Empty,Empty
299,On the early release of Boronbayeva Gilfuza Salimovna from the post of judge of the Supreme Court of the Kyrgyz Republic,Empty,Empty
300,On the early release of Kalieva Gulbara Ironovna from the post of judge of the Supreme Court of the Kyrgyz Republic,Empty,Empty
301,"On amendments to some legislative acts of the Kyrgyz Republic (the Criminal Code, the Code of Criminal Procedure, the Code of Offenses)",About the draft Law,Empty
302,About the local state administration and local self-government bodies,On amendments to the Law of the Kyrgyz Republic,About the draft Law
303,On the general principles of pardon,On amending the Criminal Code of the Kyrgyz Republic and invalidating the Law of the Kyrgyz Republic,About the draft Law
304,On approval of the Development Strategy of the Jogorku Kenesh of the Kyrgyz Republic until 2027,On the draft resolution of the Jogorku Kenesh,Empty
305,On municipal ownership of property,On amendments to the Law of the Kyrgyz Republic,About the draft Law
306,About hunting and hunting economy,On amendments to the Law of the Kyrgyz Republic,About the draft Law
307,"Sheikh Zayed bin Sultan Al Nahyan to the unnamed glacier No. 354, located on the northwestern slope of the Ak-Shyrak ridge, in the Bordu River basin, Jeti-Oguz district of Issyk-Kul region of the Kyrgyz Republic",On the assignment of a geographical name,About the draft Law
308,"King Abdulaziz to the unnamed glacier No. 331, located in the Ak-Shyrak massif, in the Sary-Chat Jeti River basin of the Oguz district of the Issyk-Kul region of the Kyrgyz Republic",On the assignment of a geographical name,About the draft Law
309,About the Constitutional Court of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Constitutional Law
310,About the Prosecutor's Office of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
311,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
312,About the National Kurultai,About the draft Law,Empty
313,About the Legal Profession of the Kyrgyz Republic and advocacy,On amendments to the Law of the Kyrgyz Republic,About the draft Law
314,On amendments to some legislative acts of the Kyrgyz Republic on the management of apartment buildings,About the draft Law,Empty
315,About education),"On amendments to some legislative acts of the Kyrgyz Republic (the Budget Code, the Law",About the draft Law
316,On restricting the turnover of polymer film bags and plastic products on the territory of the Kyrgyz Republic,About the draft Law,Empty
317,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
318,On issues of transferring profits of the National Bank of the Kyrgyz Republic,About the draft Law,Empty
319,On amendments to some legislative acts of the Kyrgyz Republic in the field of public procurement,About the draft Law,Empty
320,"Housing finance in the Kyrgyz Republic, signed on April 24, 2023 in Bishkek",On the ratification of the Loan Agreement between the Kyrgyz Republic and the Saudi Development Fund for the project,About the draft Law
321,About external migration,On amendments to the Law of the Kyrgyz Republic,About the draft Law
322,On international emergency assistance,On amendments to the Law of the Kyrgyz Republic,About the draft Law
323,About education,About the draft Law,Empty
324,On amendments to some legislative acts of the Kyrgyz Republic in the field of social security,About the draft Law,Empty
325,On amendments to some legislative acts of the Kyrgyz Republic in the field of social security,About the draft Law,Empty
326,On the social protection of family members of deceased and injured citizens as a result of the events that occurred in April 2021 and September 2022,About the draft Law,Empty
327,On the social protection of family members of deceased and injured citizens as a result of the events that occurred in April 2021 and September 2022,About the draft Law,Empty
328,About state benefits in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
329,About state benefits in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
330,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
331,"Construction and equipping of the neurosurgical center of the National Hospital, signed on March 11, 2016 in Bishkek",On the denunciation of the Loan Agreement between the Kyrgyz Republic and the Kuwait Fund for Arab Economic Development on the project,About the draft Law
332,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Russian Federation on the construction and operation of a scientific center for research on infectious diseases in the Kyrgyz Republic, signed on March 7, 2023 in Moscow",About the draft Law,Empty
333,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Russian Federation on the construction and operation of a scientific center for research on infectious diseases in the Kyrgyz Republic, signed on March 7, 2023 in Moscow",About the draft Law,Empty
334,About production and consumption waste,About the draft Law,Empty
335,About production and consumption waste,About the draft Law,Empty
336,On the procedure for conducting inspections of business entities,On amendments to the Law of the Kyrgyz Republic,About the draft Law
337,On the procedure for conducting inspections of business entities,On amendments to the Law of the Kyrgyz Republic,About the draft Law
338,On municipal ownership of property,On amendments to the Law of the Kyrgyz Republic,About the draft Law
339,About the Prosecutor's Office of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
340,About the Prosecutor's Office of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
341,"About state awards, honorary titles and state prizes of the Kyrgyz Republic",About the draft Law,Empty
342,"About state awards, honorary titles and state prizes of the Kyrgyz Republic",About the draft Law,Empty
343,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
344,"On the elections of the President of the Kyrgyz Republic and deputies of the Jogorku Kenesh of the Kyrgyz Republic"", On the Prosecutor's Office of the Kyrgyz Republic"", On the status of judges of the Kyrgyz Republic"")",About the draft Law,On amendments to some constitutional laws of the Kyrgyz Republic (constitutional laws
345,On amendments to some legislative acts of the Kyrgyz Republic on citizenship issues,About the draft Law,Empty
346,On combating corruption,About the draft Law,Empty
347,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
348,"On ratification of the Protocol on Amendments to the Agreement on Common Principles and Rules for the Circulation of Medical Devices (Medical Devices and Medical Equipment) within the Framework of the Eurasian Economic Union dated December 23, 2014, signed on February 13, 2023 in Moscow",About the draft Law,Empty
349,"On ratification of the Protocol on Amendments to the Agreement on Common Principles and Rules for the Circulation of Medical Devices (Medical Devices and Medical Equipment) within the Framework of the Eurasian Economic Union dated December 23, 2014, signed on February 13, 2023 in Moscow",About the draft Law,Empty
350,"On ratification of the Protocol on Amendments to the Agreement on Common Principles and Rules for the Circulation of Medical Devices (Medical Devices and Medical Equipment) within the Framework of the Eurasian Economic Union dated December 23, 2014, signed on February 13, 2023 in Moscow",About the draft Law,Empty
351,"The Central Group for the Implementation of projects of the European Bank for Reconstruction and Development in the field of water supply and sanitation between the Kyrgyz Republic and the European Bank for Reconstruction and Development, signed on May 25, 2023 in Bishkek",On the ratification of the Grant Agreement for the project,About the draft Law
352,"The Central Group for the Implementation of projects of the European Bank for Reconstruction and Development in the field of water supply and sanitation between the Kyrgyz Republic and the European Bank for Reconstruction and Development, signed on May 25, 2023 in Bishkek",On the ratification of the Grant Agreement for the project,About the draft Law
353,"The Central Group for the Implementation of projects of the European Bank for Reconstruction and Development in the field of water supply and sanitation between the Kyrgyz Republic and the European Bank for Reconstruction and Development, signed on May 25, 2023 in Bishkek",On the ratification of the Grant Agreement for the project,About the draft Law
354,On the protection of the health of citizens in the Kyrgyz Republic,About the draft Law,Empty
355,On the report of the Chairman of the National Bank of the Kyrgyz Republic on the activities of the National Bank of the Kyrgyz Republic for 2022,Empty,Empty
356,The State Development Bank of the Kyrgyz Republic for 2022 and 2023,On approval of the external auditor of JSC,On the draft resolution of the Jogorku Kenesh
357,On amendments to some resolutions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
358,"On the report of the provisional deputy commission for the study of the effectiveness of management and privatization of state property, established by Resolution No. 220-VII of the Jogorku Kenesh of the Kyrgyz Republic dated April 27, 2022",Empty,Empty
359,About the Government of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,On the draft Constitutional Law
360,"On the status of the deputy of the Jogorku Kenesh of the Kyrgyz Republic""and On the Regulations of the Jogorku Kenesh of the Kyrgyz Republic"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
361,On amendments to some legislative acts of the Kyrgyz Republic on the issue of restrictions on the occupation of state and municipal positions by a person dismissed from the position of a judge in connection with his violation of the requirements of integrity,About the draft Law,Empty
362,On regulatory legal acts of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
363,On elections to local self-government bodies of the Kyrgyz Republic,About the draft Law,Empty
364,"On amendments to some legislative acts of the Kyrgyz Republic (laws “On local self-government”, “On the status of the capital”, “On the status of the city of Osh”, On the status of deputies of local councils”)",About the draft Law,Empty
365,About anniversary events in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
366,On the elections of the President of the Kyrgyz Republic and deputies of the Jogorku Kenesh of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
367,"On amendments to some legislative acts of the Kyrgyz Republic, returned by the Objection of the President of the Kyrgyz Republic (",On amendments to the Labor Code of the Kyrgyz Republic and invalidation of the Law of the Kyrgyz Republic,About the Law of the Kyrgyz Republic
368,About the notary (,On amendments to the Law of the Kyrgyz Republic,On the Objection of the President of the Kyrgyz Republic to the Law of the Kyrgyz Republic
369,"On the State civil service and municipal service, returned with the Objection of the President of the Kyrgyz Republic (",On amendments to the Law of the Kyrgyz Republic,About the Law of the Kyrgyz Republic
370,"On the formation of a temporary deputy commission to study the activities of courts and prosecutor's offices, as well as local self-government bodies and other relevant bodies in relation to illegally convicted persons conditionally released from serving their sentences","On Amendments to Resolution No. 1252-VII of the Jogorku Kenesh of the Kyrgyz Republic dated June 14, 2023",On the draft resolution of the Jogorku Kenesh
371,"About electric and postal communications"", About postal communications"")",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
372,On the regulation of milk purchase prices,About the draft Law,Empty
373,On the regulation of milk purchase prices,About the draft Law,Empty
374,On the regulation of milk purchase prices,About the draft Law,Empty
375,"On the extension of the term of work of the temporary deputy commission for the study of issues of chaotic construction in the city of Bishkek and control over the implementation of urban planning legislation of the Kyrgyz Republic, formed by Resolution No. 176-VII of the Jogorku Kenesh of the Kyrgyz Republic dated April 6, 2022",On the draft resolution of the Jogorku Kenesh,Empty
376,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
377,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
378,About seeds,On amendments to the Law of the Kyrgyz Republic,About the draft Law
379,On state regulation of foreign trade activities,About the draft Law,Empty
380,On amendments to some legislative acts of the Kyrgyz Republic on issues of state control at checkpoints on the State border of the Kyrgyz Republic,About the draft Law,Empty
381,On customs regulation,On amendments to the Law of the Kyrgyz Republic,About the draft Law
382,"On the state monopoly on the production, import, storage and sale of ethyl alcohol and state regulation of the production of alcoholic beverages",About the draft Law,Empty
383,About the pledge,On amendments to the Law of the Kyrgyz Republic,About the draft Law
384,About the pledge,On amendments to the Law of the Kyrgyz Republic,About the draft Law
385,About education,About the joint draft Law,Empty
386,On issues of transferring profits of the National Bank of the Kyrgyz Republic,About the draft Law,Empty
387,"On amendments to some legislative acts of the Kyrgyz Republic (the Criminal Code, the Code of Criminal Procedure, the Code of Offenses)",About the draft Law,Empty
388,"On measures to prevent harm to children's health, their physical, intellectual, mental, spiritual and moral development in the Kyrgyz Republic"", On mass media"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (the Code of Offenses and Laws
389,"On measures to prevent harm to children's health, their physical, intellectual, mental, spiritual and moral development in the Kyrgyz Republic"", On mass media"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (the Code of Offenses and Laws
390,About education),"On amendments to some legislative acts of the Kyrgyz Republic (the Budget Code, the Law",About the draft Law
391,On amendments to some legislative acts of the Kyrgyz Republic on education,About the draft Law,Empty
392,On amendments to some legislative acts of the Kyrgyz Republic on education,About the draft Law,Empty
393,About public health,About the draft Law,Empty
394,About hunting and hunting economy,On amendments to the Law of the Kyrgyz Republic,About the draft Law
395,About renewable energy sources,On amendments to the Law of the Kyrgyz Republic,About the draft Law
396,About renewable energy sources,On amendments to the Law of the Kyrgyz Republic,About the draft Law
397,About renewable energy sources,On amendments to the Law of the Kyrgyz Republic,About the draft Law
398,On amendments to some legislative acts of the Kyrgyz Republic in the field of social security,About the draft Law,Empty
399,On the social protection of family members of deceased and injured citizens as a result of the events that occurred in April 2021 and September 2022,About the draft Law,Empty
400,"On the elections of the President of the Kyrgyz Republic and deputies of the Jogorku Kenesh of the Kyrgyz Republic"", On the Cabinet of Ministers of the Kyrgyz Republic"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (constitutional Laws
401,On amendments to some legislative acts of the Kyrgyz Republic aimed at combating corruption in the field of public and municipal service,About the draft Law,Empty
402,On the status of judges of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
403,On the protection of bank deposits,On amendments to the Law of the Kyrgyz Republic,About the draft Law
404,On amendments to the Housing Code of the Kyrgyz Republic (,On the Objection of the President of the Kyrgyz Republic to the Law of the Kyrgyz Republic,Empty
405,"On the approval of the Concept of Kyrgyzstan as a country of green economy"" and measures to implement the principles of green economy in the Kyrgyz Republic""",On the draft resolution of the Jogorku Kenesh,"On invalidation of Resolution No. 2532-VI of the Jogorku Kenesh of the Kyrgyz Republic dated June 28, 2018"
406,On amendments to some legislative acts of the Kyrgyz Republic on the management of apartment buildings,About the draft Law,Empty
407,On the report of the Chairman of the Accounts Chamber of the Kyrgyz Republic on the activities of the Accounts Chamber of the Kyrgyz Republic for 2022,Empty,Empty
408,About science,About the draft Law,Empty
409,About youth,About the draft Law,Empty
410,On amendments to some legislative acts of the Kyrgyz Republic in the field of defense,About the draft Law,Empty
411,"On the Accession of the Kyrgyz Republic to the Agreement on the Adoption of the United Nations Harmonized Technical Regulations for Wheeled Vehicles, Equipment and Parts that Can be Installed and/or Used on Wheeled Vehicles, and on the Conditions for Mutual Recognition of Approvals Issued on the Basis of these United Nations Regulations, done in Geneva on March 20 In 1958",About the draft Law,Empty
412,About mediation,On amendments to the Law of the Kyrgyz Republic,About the draft Law
413,On the status of judges of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
414,About the Supreme Court of the Kyrgyz Republic and local courts,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
415,"On Trade Unions established by Resolution No. 341-VII of the Jogorku Kenesh of the Kyrgyz Republic dated June 16, 2022",On the results of the work of the provisional deputy commission for the study of the implementation of the Law of the Kyrgyz Republic,Empty
416,About the Legal Profession of the Kyrgyz Republic and advocacy,On amendments to the Law of the Kyrgyz Republic,About the draft Law
417,"Housing finance in the Kyrgyz Republic, signed on April 24, 2023 in Bishkek",On the ratification of the Loan Agreement between the Kyrgyz Republic and the Saudi Development Fund for the project,About the draft Law
418,About external migration,On amendments to the Law of the Kyrgyz Republic,About the draft Law
419,About the Council for Justice of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Constitutional Law
420,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
421,"Kyrgyz National Company Temir Zhol under the Ministry of Transport and Communications of the Kyrgyz Republic) between the Kyrgyz Republic and the European Bank for Reconstruction and Development, signed on December 1, 2022 in the city of Tokyo, and agreements on the provision of an investment grant (a project to increase the climate sustainability of the state enterprise national company Kyrgyz Temir Zhol ”under the Ministry of Transport and Communications of the Kyrgyz Republic) between the Kyrgyz Republic, the state enterprise National company Kyrgyz Temir Zhol” under the Ministry of Transport and Communications of the Kyrgyz Republic and the European Bank of Reconstruction and Development signed on December 8, 2022 in the city of Bishkek ”",About the draft Law,On the ratification of the Loan Agreement (A project to improve the climate sustainability of the infrastructure of a State-owned enterprise
422,"On electrical and postal services "", about postal services"")",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
423,About internal migration,On amendments to the Law of the Kyrgyz Republic,About the project  The Law
424,"On the introduction of a moratorium on the transfer (transformation) of irrigated lands of arable land to other categories of land and types of land ”, on the transfer (transformation) of land plots” ”)” ”",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (Laws
425,"On the introduction of a moratorium on the transfer (transformation) of irrigated lands of arable land to other categories of land and types of land ”, on the transfer (transformation) of land plots” ”)” ”",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (Laws
426,"On the introduction of a moratorium on the transfer (transformation) of irrigated lands of arable land to other categories of land and types of land ”, on the transfer (transformation) of land plots” ”)” ”",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (Laws
427,On the status of the Batken region,On amendments to the Law of the Kyrgyz Republic,About the draft Law
428,"On state awards, honorary titles and state prizes of the Kyrgyz Republic",About the draft Law,Empty
429,"On amendments to the Constitutional Law of the Kyrgyz Republic on the Cabinet of Ministers of the Kyrgyz Republic ”, returned with the objection of the President of the Kyrgyz Republic (",On the draft resolution of the Jogorku Kenesh,On the formation of a conciliation group to develop an agreed version of the constitutional Law of the Kyrgyz Republic
430,On issues of preventing and reducing the risk of disasters associated with erosion of river coasts in the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
431,On the issues of transferring profit from the National Bank of the Kyrgyz Republic,About the draft Law,Empty
432,"The election of the chairman and deputy chairman of the Provisional Deputy Commission for the investigation of the activities of the court and the prosecution authority, as well as local authorities and other relevant authorities in relation to illegally convicted, conventionally released before serving the sentence, formed by the resolution of the Jogorku Kenesh of the Kyrgyz Republic of June 14, 2023 No. 1252-VII",On the draft resolution of the Jogorku Kenesh,Empty
433,On restricting the turnover of packages from a polymer film in the Kyrgyz Republic,About the draft Law,Empty
434,On amendments to the Code of the Kyrgyz Republic on offenses,About the draft Law,Empty
435,On production and consumption waste,About the draft Law,Empty
436,"On the early liberation of Kolopova A.S. From the post of deputy Akiykatchi (Ombudsman) of the Kyrgyz Republic (committee on constitutional legislation, state system, judicial issues and regulations, the Jogorku Kenesh was considered)",1. On the draft resolution of the Jogorku Kenesh,Empty
437,"On the creation of the interim deputy commission for the consideration of the activities of courts and prosecutors, as well as local authorities and other relevant authorities in relation to illegally convicted, conventionally released before serving the sentence",Empty,Empty
438,About the prosecutor's office of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
439,On amendments to the Code of Criminal Procedure of the Kyrgyz Republic,About the draft Law,Empty
440,On amendments to the Labor Code of the Kyrgyz Republic and recognition of some legislative acts of the Kyrgyz Republic who have lost the strength,About the draft Law,Empty
441,On amendments to some legislative acts of the Kyrgyz Republic in the field of social security,About the draft Law,Empty
442,On international emergency,On amendments to the Law of the Kyrgyz Republic,About the draft Law
443,"On ratification of the agreement on the establishment of the Eurasian reinsurance company signed on October 20, 2022 in the city of Yerevan",About the draft Law,Empty
444,"On ratification of the agreement on the establishment of the Eurasian reinsurance company signed on October 20, 2022 in the city of Yerevan",About the draft Law,Empty
445,"Housing financing in the Kyrgyz Republic, signed on April 24, 2023 in the city of Bishkek",On the ratification of the Loan Agreement between the Kyrgyz Republic and the Saudi Development Fund for the project,About the draft Law
446,"Construction and equipment of the neurosurgical center of the National Hospital signed on March 11, 2016 in the city of Bishkek",On the denunciation of the Loan Agreement between the Kyrgyz Republic and the Kuwait Fund for Arab Economic Development on the project,About the draft Law
447,"On amendments to some legislative acts of the Kyrgyz Republic in the field of criminal legislation (in the Criminal Code, Code of Offenses)",About the draft Law,Empty
448,"On amendments to some legislative acts of the Kyrgyz Republic (to the Criminal Code, the Criminal Procedure Code)",About the draft Law,Empty
449,On the State Civil Service and the Municipal Service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
450,"About the Republican Sports College. Sheraly Sydykova (initiator-deputy Sydygaliev N.O., vk. No. 6-7470/23, dated 05.26.23) (Committee on Social Policy Assistance)",15. On the draft resolution of the Jogorku Kenesh,Empty
451,On amendments to some legislative acts of the Kyrgyz Republic in the field of defense,About the draft Law,Empty
452,About the people's Kurultai,About the draft Law,Empty
453,About the prosecutor's office of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
454,"Sheikh Zaed Bin Sultan Al Nakhayan to the nameless glacier No. 354, located on the northwestern slope of the Ak-Syrak ridge, in the Bordea River basin, Jeta-Oguz district of the Issyk-Kul region of the Kyrgyz Republic",On the assignment of a geographical name,About the draft Law
455,"King Abdulaziz to the nameless glacier No. 331, located in the Ak-Syrak array, in the basin of the Sary-Chata River of the Jeta-Oghuz district of the Issyk-Kul region of the Kyrgyz Republic",On the assignment of a geographical name,About the draft Law
456,About education,About the draft Law,Empty
